chrI	0	281957	15072423	0.0187068
chrI	1	14790466	15072423	0.981293
chrII	0	254984	15279345	0.0166881
chrII	1	15024361	15279345	0.983312
chrIII	0	264455	13783700	0.0191861
chrIII	1	13519245	13783700	0.980814
chrIV	0	279437	17493793	0.0159735
chrIV	1	17214356	17493793	0.984027
chrM	0	1646	13794	0.119327
chrM	1	12148	13794	0.880673
chrV	0	274791	20924149	0.0131327
chrV	1	20649358	20924149	0.986867
chrX	0	187884	17718866	0.0106036
chrX	1	17530982	17718866	0.989396
genome	0	1545154	100286070	0.0154075
genome	1	98740916	100286070	0.984592
